Date,spy,spyv,spyg,true label,1 ws,1 ld ,3 ws,3 ls,sc 1-ws,sc 1-ls,best,,,,,,,,,,,,,100,,,,,,,,
,,,,,,,,,,,Date,spy,spyv,spyg,true label,1 ws,1 ld ,3 ws,3 ls,sc 1-ws,sc 1-ls,,Date,SPY,SPYV,SPYG,1-WS,1-LS,3-WS,3-LS,SC 1-WS,SC 1-LS
6/15/06,0.021214618,0.024843867,0.020344295,value,Growth,Value,Growth,Value,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
8/15/11,0.021164578,0.02204743,0.015198291,value,Growth,Value,Growth,Value,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
8/10/22,0.021004046,0.014933041,0.027650524,growth,Value,Growth,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
5/1/08,0.020685421,0.018146839,0.018651582,growth,Value,Growth,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
12/7/21,0.020685024,0.013089725,0.026795698,growth,Value,Growth,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
9/8/08,0.0206557,0.023719653,0.007599616,value,Growth,Value,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
9/24/10,0.0206221,0.019708813,0.022841198,growth,Growth,Value,Growth,Value,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
2/12/16,0.020616617,0.02119362,0.015472445,value,Growth,Value,Growth,Value,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
5/17/22,0.020570253,0.015784157,0.024514221,growth,Value,Growth,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
1/22/16,0.02051561,0.016805571,0.022863167,growth,Value,Growth,Growth,Value,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
3/26/09,0.020380348,0.014213448,0.031856308,growth,Value,Growth,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
9/6/12,0.020296306,0.019089954,0.017390066,value,Value,Growth,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
11/19/12,0.020238954,0.014194037,0.019570858,growth,Value,Growth,Growth,Value,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
6/29/06,0.020199912,0.020885473,0.022301596,growth,Value,Growth,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
10/5/10,0.020131777,0.020342544,0.022956294,growth,Value,Growth,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
6/5/08,0.019996943,0.018242,0.020706451,growth,Growth,Value,Growth,Value,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
3/24/08,0.019988054,0.01151366,0.024348328,growth,Value,Growth,Value,Growth,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
5/26/22,0.019981389,0.01419514,0.025337547,growth,Growth,Value,Growth,Value,SPY,Cash,,,,,,,,,,,,,,,,,,,,,,
4/27/23,0.019908085,0.022404792,0.01716587,value,Growth,Value,Growth,Value,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
8/3/12,0.019833104,0.02211315,0.016505701,value,Growth,Value,Value,Growth,Cash,SPY,,,,,,,,,,,,,,,,,,,,,,
